Date,Open,High,Low,Close,Volume
2023-01-03,163.0,164.36,162.33,163.52,6386140
2023-01-04,163.48,163.48,162.06,162.51,6677170
2023-01-05,162.5,162.85,160.71,161.2,7605990
2023-01-06,161.2,162.59,161.1,162.1,5247160
2023-01-09,162.99,163.49,161.88,162.71,9747070
2023-01-10,162.71,162.98,161.44,162.1,7348430
2023-01-11,162.05,167.19,161.7,165.83,25247100
2023-01-12,165.71,165.79,163.75,164.17,11374610
2023-01-13,164.3,165.73,163.5,164.56,12251190
2023-01-16,165.1,166.8,164.9,165.8,14684580
2023-01-17,165.8,165.92,162.0,162.33,18071260
2023-01-18,162.52,163.96,160.81,162.18,14474410
2023-01-19,161.99,162.49,160.01,160.53,15637850
2023-01-20,160.56,161.45,158.55,158.85,16523360
2023-01-23,158.85,160.49,158.2,160.06,15094450
2023-01-24,160.3,160.83,157.44,157.88,16620430
2023-01-25,157.9,159.13,156.71,158.99,15570640
2023-01-26,159.12,159.43,157.13,157.58,12385230
2023-01-27,157.58,159.33,156.91,159.08,12293860
2023-01-30,159.08,159.67,157.7,158.41,10740220
2023-01-31,158.41,160.0,158.0,158.1,15129060
2023-02-01,158.3,158.66,157.54,158.12,14240340
2023-02-02,158.44,158.59,157.31,158.1,11991300
2023-02-03,158.09,163.96,156.76,160.87,69539880
2023-02-06,160.68,161.76,158.91,160.14,28144330
2023-02-07,160.5,161.35,159.51,159.87,13954930
2023-02-08,160.01,160.42,157.82,158.18,16688290
2023-02-09,158.5,160.44,157.6,159.19,27661050
2023-02-10,159.07,159.46,158.32,158.68,9874270
2023-02-13,159.47,159.47,158.0,158.01,11418540
2023-02-14,157.9,158.1,155.13,156.52,18614580
2023-02-15,156.05,156.07,150.6,153.09,27565120
2023-02-16,154.01,154.5,151.62,153.56,17324800
2023-02-17,153.4,155.08,152.83,153.62,13264910
2023-02-20,153.62,154.3,151.62,153.24,15317010
2023-02-21,153.61,156.43,153.61,154.97,21395970
2023-02-22,154.89,156.4,153.5,155.31,11653990
2023-02-24,155.53,156.98,153.72,154.22,9977840
2023-02-27,153.9,157.3,153.5,156.34,17130630
2023-02-28,156.49,158.09,155.56,157.66,18437840
2023-03-01,158.0,164.56,157.99,164.5,67730800
2023-03-02,164.18,164.34,159.5,160.9,53198820
2023-03-03,161.2,163.3,160.9,162.27,21331010
2023-03-06,163.2,164.3,162.52,163.35,19513700
2023-03-07,163.8,163.85,162.0,162.57,13857120
2023-03-09,162.21,163.18,161.12,161.21,13951080
2023-03-10,160.5,161.29,159.51,160.04,17242280
2023-03-13,160.35,161.62,158.3,159.03,20242370
2023-03-14,158.89,161.4,158.55,161.0,17511280
2023-03-15,161.69,162.48,158.05,159.68,24955980
2023-03-16,159.85,160.83,158.5,159.71,20918470
2023-03-17,160.19,164.41,159.85,163.29,41756740
2023-03-20,164.4,176.86,164.14,175.7,128096680
2023-03-21,176.0,177.25,168.66,170.55,107470840
2023-03-22,170.0,171.38,167.7,168.72,38941190
2023-03-23,168.72,169.71,167.82,168.84,18755770
2023-03-24,169.23,169.49,168.01,169.03,14775980
2023-03-27,170.2,173.25,169.74,172.33,36031430
2023-03-28,172.94,172.94,169.1,171.07,27050730
2023-03-29,171.58,172.5,169.41,170.95,22448680
2023-03-30,170.78,171.8,170.02,171.71,14713810
2023-03-31,172.0,172.71,168.14,169.83,31382430
2023-04-03,170.99,171.5,169.0,170.38,22791210
2023-04-04,171.0,176.0,170.14,172.55,73197080
2023-04-05,172.55,174.48,170.58,173.86,32905650
2023-04-06,174.02,175.0,171.3,171.6,30250960
2023-04-07,171.5,173.18,171.29,173.09,17927510
2023-04-10,173.55,175.2,173.23,174.54,23369990
2023-04-11,175.5,182.5,175.2,177.18,118205120
2023-04-12,178.32,179.78,175.55,178.75,37417720
2023-04-13,179.1,180.59,176.8,178.73,30771170
2023-04-14,179.0,180.1,177.1,179.5,20380880
2023-04-17,180.85,182.15,180.08,181.99,28695010
2023-04-18,182.41,184.97,182.0,184.39,41506690
2023-04-19,184.33,185.32,180.3,182.01,47950670
2023-04-20,182.03,182.72,178.64,181.74,38613080
2023-04-21,182.0,183.49,181.21,181.72,20942550
2023-04-24,181.48,183.88,170.63,181.56,44375970
2023-04-25,181.5,182.11,178.0,178.93,29273380
2023-04-26,179.05,179.84,178.03,178.38,16609200
2023-04-27,178.24,184.87,177.62,183.95,49286970
2023-04-28,184.4,185.0,179.64,181.13,38845710
2023-05-02,181.0,181.86,175.8,177.97,33096090
2023-05-03,177.76,177.79,172.15,172.87,37664120
2023-05-04,173.23,174.24,172.01,173.66,20471210
2023-05-05,173.66,175.48,171.16,172.09,22696940
2023-05-08,172.6,172.91,170.65,170.84,11491060
2023-05-10,171.3,176.74,171.12,175.53,50981740
2023-05-11,176.19,178.11,171.61,174.13,50340780
2023-05-12,174.3,175.0,172.61,173.95,23451420
2023-05-15,174.69,179.83,173.2,179.04,56172480
2023-05-16,179.9,181.8,176.73,177.05,51242280
2023-05-17,176.9,178.38,174.72,176.3,37026420
2023-05-18,176.45,177.62,174.6,175.26,34013060
2023-05-19,174.95,175.09,172.86,174.43,31830910
2023-05-22,175.22,175.5,170.85,172.47,43986730
2023-05-23,172.88,179.6,165.1,166.59,180771400
2023-05-24,165.51,166.3,161.84,162.96,65947320
2023-05-25,163.0,163.0,160.47,162.3,39403460
2023-05-26,162.0,165.4,161.69,164.48,37679970
